nss,prenom,nom,dateNaissance,nationalite,carteIdentite,email,telephone,adresse,codePrive,nssPere,nssMere,genre,login,motDePasse,numero,premiereConnexion
100000001,Jean,Dupont,1950-04-12,Française,ID000001,jean.dupont@mail.com,0611111111,10 rue Victor Hugo,CODE1,,,HOMME,jean.d,pass1,001,false
100000002,Marie,Dupont,1952-07-30,Française,ID000002,marie.dupont@mail.com,0611111112,10 rue Victor Hugo,CODE2,,,FEMME,marie.d,pass2,002,false
100000003,Luc,Dupont,1975-03-22,Française,ID000003,luc.dupont@mail.com,0611111113,12 rue Victor Hugo,CODE3,100000001,100000002,HOMME,luc.d,pass3,003,false
100000004,Sophie,Dupont,1978-08-15,Française,ID000004,sophie.dupont@mail.com,0611111114,12 rue Victor Hugo,CODE4,100000001,100000002,FEMME,sophie.d,pass4,004,false
100000005,Julien,Dupont,2000-01-10,Française,ID000005,julien.dupont@mail.com,0611111115,14 rue Victor Hugo,CODE5,100000003,100000004,HOMME,julien.d,pass5,005,false
100000006,Emma,Dupont,2002-06-05,Française,ID000006,emma.dupont@mail.com,0611111116,14 rue Victor Hugo,CODE6,100000003,100000004,FEMME,emma.d,pass6,006,false
100000007,Marc,Durand,1955-09-10,Française,ID000007,marc.durand@mail.com,0622222221,20 avenue des Lilas,CODE7,,,HOMME,marc.d,pass7,007,false
100000008,Claire,Durand,1958-11-19,Française,ID000008,claire.durand@mail.com,0622222222,20 avenue des Lilas,CODE8,,,FEMME,claire.d,pass8,008,false
100000009,Alice,Durand,1980-05-25,Française,ID000009,alice.durand@mail.com,0622222223,22 avenue des Lilas,CODE9,100000007,100000008,FEMME,alice.d,pass9,009,false
100000010,Hugo,Durand,1983-12-03,Française,ID000010,hugo.durand@mail.com,0622222224,22 avenue des Lilas,CODE10,100000007,100000008,HOMME,hugo.d,pass10,010,false
100000011,Thomas,Durand,2010-04-08,Française,ID000011,thomas.durand@mail.com,0622222225,24 avenue des Lilas,CODE11,,100000009,HOMME,thomas.d,pass11,011,false
100000012,Laura,Durand,2012-09-14,Française,ID000012,laura.durand@mail.com,0622222226,24 avenue des Lilas,CODE12,100000010,100000006,FEMME,laura.d,pass12,012,false
100000013,Paul,Martin,1960-06-18,Française,ID000013,paul.martin@mail.com,0633333331,5 rue des Écoles,CODE13,,,HOMME,paul.m,pass13,013,false
100000014,Isabelle,Martin,1963-10-22,Française,ID000014,isabelle.martin@mail.com,0633333332,5 rue des Écoles,CODE14,,,FEMME,isabelle.m,pass14,014,false
100000015,Nicolas,Martin,1990-01-30,Française,ID000015,nicolas.martin@mail.com,0633333333,7 rue des Écoles,CODE15,100000013,100000014,HOMME,nicolas.m,pass15,015,false
100000016,Julie,Martin,1992-03-18,Française,ID000016,julie.martin@mail.com,0633333334,7 rue des Écoles,CODE16,100000013,100000014,FEMME,julie.m,pass16,016,false
547515846,glenn,diffo,2002-12-03,kpp,file:/home/cytech/Pictures/steamuserimages-a.akamaihd.jpeg,diffoglenn007@gmail.com,5781561,kfgbdijbf,c00350e0,,,HOMME,glenn.d,mdp,017,false
84515616,mpp,fibfib,2003-08-03,cjhbv,file:/home/cytech/Pictures/1308151.jpeg,fkubid@dd,ikugdib,jyiybdib,f3062751,,,FEMME,mpp.f,sheesh,034,false
